iter	Passed	Remaining
0	3	1802
1	6	1642
2	9	1556
3	12	1545
4	15	1541
5	18	1515
6	21	1532
7	25	1550
8	28	1559
9	31	1567
10	35	1568
11	38	1582
12	44	1665
13	47	1663
14	52	1681
15	55	1690
16	59	1694
17	63	1692
18	67	1711
19	71	1714
20	75	1712
21	78	1701
22	81	1695
23	85	1691
24	89	1692
25	92	1690
26	96	1691
27	99	1679
28	103	1680
29	107	1681
30	111	1679
31	114	1673
32	117	1669
33	121	1668
34	125	1667
35	129	1675
36	133	1671
37	136	1664
38	140	1662
39	144	1658
40	147	1654
41	151	1647
42	154	1640
43	158	1642
44	161	1637
45	165	1633
46	172	1667
47	177	1668
48	180	1665
49	185	1665
50	188	1659
51	192	1656
52	196	1658
53	200	1653
54	204	1654
55	208	1654
56	212	1654
57	217	1655
58	220	1651
59	224	1648
60	228	1646
61	232	1644
62	237	1647
63	241	1643
64	244	1635
65	248	1633
66	251	1628
67	256	1631
68	260	1628
69	264	1623
70	267	1615
71	270	1609
72	274	1603
73	277	1596
74	280	1591
75	284	1585
76	287	1578
77	290	1571
78	293	1564
79	296	1557
80	299	1549
81	302	1542
82	305	1536
83	308	1529
84	312	1523
85	314	1516
86	317	1508
87	320	1501
88	323	1494
89	326	1489
90	330	1484
91	333	1477
92	336	1470
93	339	1464
94	342	1459
95	345	1454
96	348	1449
97	352	1445
98	355	1439
99	358	1433
100	361	1427
101	364	1421
102	367	1417
103	370	1412
104	374	1407
105	377	1402
106	380	1397
107	383	1393
108	387	1390
109	391	1386
110	394	1381
111	397	1377
112	401	1374
113	404	1369
114	406	1362
115	410	1357
116	413	1354
117	416	1349
118	420	1345
119	423	1340
120	427	1337
121	430	1335
122	434	1331
123	437	1327
124	441	1323
125	444	1319
126	447	1314
127	450	1309
128	454	1306
129	457	1302
130	461	1298
131	464	1295
132	468	1292
133	473	1294
134	477	1291
135	482	1290
136	486	1289
137	491	1289
138	495	1286
139	499	1284
140	503	1281
141	506	1276
142	510	1273
143	514	1270
144	517	1267
145	521	1263
146	525	1260
147	528	1257
148	532	1254
149	535	1249
150	538	1245
151	541	1240
152	545	1236
153	548	1232
154	552	1229
155	555	1225
156	559	1221
157	562	1217
158	565	1212
159	568	1207
160	571	1203
161	574	1198
162	577	1194
163	581	1191
164	585	1188
165	588	1184
166	592	1180
167	595	1177
168	599	1173
169	602	1170
170	606	1165
171	609	1161
172	612	1157
173	616	1154
174	619	1150
175	622	1146
176	626	1142
177	629	1138
178	632	1133
179	635	1129
180	638	1125
181	641	1120
182	644	1115
183	646	1111
184	649	1106
185	653	1102
186	656	1098
187	659	1094
188	662	1090
189	665	1086
190	668	1081
191	671	1077
192	674	1073
193	677	1069
194	681	1065
195	684	1061
196	687	1058
197	691	1054
198	694	1050
199	697	1046
200	700	1042
201	703	1037
202	706	1033
203	709	1029
204	712	1025
205	715	1021
206	719	1017
207	722	1014
208	725	1010
209	728	1006
210	731	1002
211	735	998
212	738	994
213	741	990
214	744	986
215	747	982
216	750	978
217	753	974
218	756	970
219	759	966
220	762	963
221	766	960
222	770	956
223	773	953
224	777	950
225	781	947
226	785	944
227	788	940
228	792	937
229	795	933
230	798	929
231	801	925
232	804	922
233	808	918
234	811	915
235	814	911
236	817	907
237	821	903
238	824	900
239	828	897
240	831	893
241	835	890
242	838	886
243	841	882
244	843	878
245	846	874
246	850	870
247	853	866
248	856	863
249	859	859
250	861	855
251	865	851
252	868	847
253	871	844
254	875	840
255	878	836
256	881	833
257	884	830
258	888	826
259	891	822
260	894	818
261	898	816
262	901	812
263	904	808
264	907	805
265	911	801
266	914	798
267	917	794
268	920	790
269	923	786
270	926	783
271	929	779
272	932	775
273	935	771
274	937	767
275	940	763
276	943	759
277	946	756
278	949	752
279	952	748
280	955	744
281	958	741
282	962	737
283	965	734
284	968	730
285	971	727
286	975	724
287	979	720
288	982	717
289	985	713
290	988	710
291	992	706
292	996	704
293	999	700
294	1003	697
295	1007	694
296	1010	690
297	1014	687
298	1017	684
299	1021	681
300	1025	677
301	1028	674
302	1033	671
303	1036	668
304	1039	664
305	1042	661
306	1045	657
307	1049	654
308	1053	651
309	1056	647
310	1060	644
311	1064	641
312	1068	638
313	1071	634
314	1075	631
315	1078	627
316	1081	624
317	1085	621
318	1088	617
319	1091	613
320	1094	610
321	1098	607
322	1101	603
323	1105	600
324	1108	596
325	1111	593
326	1115	590
327	1118	586
328	1122	583
329	1125	579
330	1128	576
331	1131	572
332	1134	569
333	1138	565
334	1141	562
335	1144	558
336	1148	555
337	1151	552
338	1155	548
339	1158	545
340	1161	541
341	1165	538
342	1168	534
343	1172	531
344	1175	527
345	1178	524
346	1182	521
347	1186	518
348	1189	514
349	1193	511
350	1196	508
351	1200	504
352	1212	504
353	1215	501
354	1219	497
355	1223	494
356	1227	491
357	1230	488
358	1234	485
359	1238	481
360	1242	478
361	1262	481
362	1265	477
363	1269	474
364	1272	470
365	1276	467
366	1280	463
367	1283	460
368	1286	456
369	1289	453
370	1292	449
371	1296	445
372	1299	442
373	1302	438
374	1305	435
375	1308	431
376	1311	427
377	1314	424
378	1317	420
379	1320	416
380	1323	413
381	1326	409
382	1329	406
383	1332	402
384	1335	398
385	1338	395
386	1341	391
387	1344	388
388	1347	384
389	1350	381
390	1354	377
391	1356	373
392	1359	370
393	1362	366
394	1365	363
395	1369	359
396	1373	356
397	1376	352
398	1379	349
399	1382	345
400	1385	342
401	1388	338
402	1391	334
403	1394	331
404	1397	327
405	1400	324
406	1404	320
407	1407	317
408	1411	313
409	1414	310
410	1418	307
411	1421	303
412	1424	300
413	1427	296
414	1430	293
415	1433	289
416	1437	286
417	1440	282
418	1443	279
419	1447	275
420	1450	272
421	1453	268
422	1456	265
423	1460	261
424	1463	258
425	1466	254
426	1470	251
427	1474	247
428	1476	244
429	1479	240
430	1482	237
431	1485	233
432	1488	230
433	1491	226
434	1494	223
435	1497	219
436	1500	216
437	1503	212
438	1506	209
439	1509	205
440	1512	202
441	1515	198
442	1519	195
443	1522	191
444	1524	188
445	1528	185
446	1531	181
447	1534	178
448	1537	174
449	1540	171
450	1543	167
451	1546	164
452	1549	160
453	1551	157
454	1554	153
455	1557	150
456	1561	146
457	1564	143
458	1566	139
459	1569	136
460	1573	133
461	1576	129
462	1580	126
463	1583	122
464	1586	119
465	1590	116
466	1593	112
467	1596	109
468	1599	105
469	1602	102
470	1605	98
471	1608	95
472	1611	91
473	1614	88
474	1617	85
475	1620	81
476	1623	78
477	1626	74
478	1629	71
479	1632	68
480	1635	64
481	1638	61
482	1641	57
483	1644	54
484	1647	50
485	1650	47
486	1653	44
487	1655	40
488	1658	37
489	1661	33
490	1664	30
491	1668	27
492	1671	23
493	1673	20
494	1677	16
495	1679	13
496	1682	10
497	1685	6
498	1688	3
499	1691	0
